Column1,city_id,year,quarter,literacy_rate,smartphone_penetration,internet_penetration,edition_id
0,C001,2019,Q1,89.16,75.76,56.53,ED1001
1,C001,2019,Q2,88.76,76.45,55.97,ED1001
2,C001,2019,Q3,88.83,75.32,56.52,ED1001
3,C001,2019,Q4,89.25,75.83,56.94,ED1001
4,C001,2020,Q1,89.13,75.03,56.45,ED1001
5,C001,2020,Q2,89.06,76.56,56.44,ED1001
6,C001,2020,Q3,89.1,74.44,55.7,ED1001
7,C001,2020,Q4,89.17,76.92,55.74,ED1001
8,C001,2021,Q1,88.99,75.08,55,ED1001
9,C001,2021,Q2,88.94,73.69,58.15,ED1001
10,C001,2021,Q3,89.14,75.25,55.16,ED1001
11,C001,2021,Q4,88.9,74.44,55.71,ED1001
12,C001,2022,Q1,89.18,75.96,55.68,ED1001
13,C001,2022,Q2,88.76,74.47,57.29,ED1001
14,C001,2022,Q3,89.31,74.67,56.11,ED1001
15,C001,2022,Q4,89.19,73.23,57.65,ED1001
16,C001,2023,Q1,89.15,74.67,55.73,ED1001
17,C001,2023,Q2,89.3,72.7,56.68,ED1001
18,C001,2023,Q3,89.43,73.54,55.56,ED1001
19,C001,2023,Q4,89.3,75.88,58.55,ED1001
20,C001,2024,Q1,88.73,75.91,55.21,ED1001
21,C001,2024,Q2,88.84,75.55,56.71,ED1001
22,C001,2024,Q3,88.98,74.15,57.03,ED1001
23,C001,2024,Q4,89.11,75.07,56.81,ED1001
24,C002,2019,Q1,70.7,48.49,48.58,ED1002
25,C002,2019,Q2,70.45,47.33,48.64,ED1002
26,C002,2019,Q3,70.64,49.99,48.81,ED1002
27,C002,2019,Q4,70.45,49.37,48.62,ED1002
28,C002,2020,Q1,70.48,48.27,49.73,ED1002
29,C002,2020,Q2,70.32,48.52,50.98,ED1002
30,C002,2020,Q3,70.42,48.7,48.21,ED1002
31,C002,2020,Q4,70.33,46.45,47.4,ED1002
32,C002,2021,Q1,70.4,48.24,48.68,ED1002
33,C002,2021,Q2,70.81,47.81,51.35,ED1002
34,C002,2021,Q3,70.41,47.49,47.97,ED1002
35,C002,2021,Q4,71.13,48.21,50.41,ED1002
36,C002,2022,Q1,70.7,50.29,50.45,ED1002
37,C002,2022,Q2,70.64,49.13,48.22,ED1002
38,C002,2022,Q3,70.43,47.92,49.34,ED1002
39,C002,2022,Q4,70.74,49.06,50.4,ED1002
40,C002,2023,Q1,70.48,49.89,48.39,ED1002
41,C002,2023,Q2,70.62,49.41,48.57,ED1002
42,C002,2023,Q3,71.11,48.55,48.19,ED1002
43,C002,2023,Q4,70.58,47.84,47.76,ED1002
44,C002,2024,Q1,70.83,49.19,48.12,ED1002
45,C002,2024,Q2,70.46,48.88,47.55,ED1002
46,C002,2024,Q3,70.59,49.39,48.8,ED1002
47,C002,2024,Q4,70.95,49.13,48,ED1002
48,C003,2019,Q1,82.57,71.39,66.77,ED1003
49,C003,2019,Q2,83.06,69.8,64.98,ED1003
50,C003,2019,Q3,82.84,71.66,66.87,ED1003
51,C003,2019,Q4,82.59,70.54,67.37,ED1003
52,C003,2020,Q1,82.83,72.42,64.55,ED1003
53,C003,2020,Q2,82.89,69.65,66.91,ED1003
54,C003,2020,Q3,82.82,72.08,67.77,ED1003
55,C003,2020,Q4,82.39,70.54,65.33,ED1003
56,C003,2021,Q1,82.55,69.69,68.21,ED1003
57,C003,2021,Q2,82.65,69.86,66.96,ED1003
58,C003,2021,Q3,82.69,70.02,65.83,ED1003
59,C003,2021,Q4,82.82,70.76,66.48,ED1003
60,C003,2022,Q1,82.74,70.86,67.1,ED1003
61,C003,2022,Q2,82.43,69.77,66.62,ED1003
62,C003,2022,Q3,82.78,70.32,67.08,ED1003
63,C003,2022,Q4,82.82,72.48,65.62,ED1003
64,C003,2023,Q1,82.81,72.07,66.71,ED1003
65,C003,2023,Q2,82.92,70.78,65.13,ED1003
66,C003,2023,Q3,82.87,70.38,66.43,ED1003
67,C003,2023,Q4,82.79,70.46,65.64,ED1003
68,C003,2024,Q1,82.69,70.95,65.8,ED1003
69,C003,2024,Q2,82.37,69.32,67.78,ED1003
70,C003,2024,Q3,82.79,70.08,67.63,ED1003
71,C003,2024,Q4,82.74,68.67,67.15,ED1003
72,C004,2019,Q1,75.69,68.49,66.51,ED1004
73,C004,2019,Q2,75.38,68.74,67.28,ED1004
74,C004,2019,Q3,75.42,67.61,68.81,ED1004
75,C004,2019,Q4,75.85,69.66,67.74,ED1004
76,C004,2020,Q1,75.63,66.86,69.92,ED1004
77,C004,2020,Q2,75.78,66.63,67.99,ED1004
78,C004,2020,Q3,75.65,68.31,67.79,ED1004
79,C004,2020,Q4,75.65,69.14,67.29,ED1004
80,C004,2021,Q1,75.83,69.77,67.73,ED1004
81,C004,2021,Q2,75.54,67.63,67.45,ED1004
82,C004,2021,Q3,75.66,69.17,68.31,ED1004
83,C004,2021,Q4,75.55,68.05,68.56,ED1004
84,C004,2022,Q1,75.55,67.92,66.81,ED1004
85,C004,2022,Q2,75.58,68.97,66.27,ED1004
86,C004,2022,Q3,75.68,68.74,65.76,ED1004
87,C004,2022,Q4,75.54,66.51,68.11,ED1004
88,C004,2023,Q1,75.89,69.57,66.5,ED1004
89,C004,2023,Q2,75.46,69.47,65.45,ED1004
90,C004,2023,Q3,75.6,67.46,67.99,ED1004
91,C004,2023,Q4,75.55,68.49,70.09,ED1004
92,C004,2024,Q1,75.93,68.58,67.59,ED1004
93,C004,2024,Q2,75.68,68.35,68.44,ED1004
94,C004,2024,Q3,75.85,67.54,67.68,ED1004
95,C004,2024,Q4,75.34,67.42,67.5,ED1004
96,C005,2019,Q1,84.85,70.31,10,ED1005
97,C005,2019,Q2,84.98,71.51,10,ED1005
